pregunta,respuesta1,respuesta2,respuesta3,respuesta4
¿Cuál es el videojuego más vendido de todos los tiempos?,Minecraft,FIFA 21,Grand Theft Auto V,The Legend of Zelda: Breath of the Wild
¿En qué año se lanzó el primer videojuego de la serie "The Legend of Zelda"?,1986,1985,1987,1988
¿Cuál es el nombre del protagonista de la serie de videojuegos "Halo"?,Master Chief,Cortana,Noble Six,Sergeant Johnson
¿Qué empresa desarrolló el videojuego "Fortnite"?,Epic Games,Ubisoft,Activision,Electronic Arts
¿Cuál es el nombre del reino donde se desarrolla la serie de videojuegos "Super Mario"?,Mushroom Kingdom,Hyrule,Los Santos,Raccoon City
¿Qué videojuego popularizó el género de "battle royale"?,PlayerUnknown's Battlegrounds,Call of Duty: Warzone,Apex Legends,Fortnite
¿Cuál es el nombre del villano principal en la serie de videojuegos "Final Fantasy VII"?,Sephiroth,Kefka,Psycho Mantis,Ganon
¿En qué año se lanzó la consola de videojuegos PlayStation 2?,2000,1999,2001,2002
¿Cuál es el nombre del creador de la serie de videojuegos "Metal Gear"?,Hideo Kojima,Shigeru Miyamoto,Satoshi Tajiri,Gabe Newell
¿Qué videojuego es conocido por su dificultad extrema y pertenece a la serie "Souls"?,Dark Souls,Bloodborne,Devil May Cry,Demon's Souls
